,scientific_name,count
504,Carpobrotus edulis,1
506,Ferula tingitana,1
491,Anacamptis papilionacea,1
507,Daphne gnidioides,1
508,Carlina lanata,1
509,Lolium multiflorum,1
510,Anthemis cretica,1
511,Gagea peduncularis,1
512,Dianthus tripunctatus,1
513,Sisyrinchium bellum,1
514,Juncus acutus,1
515,Centaurea solstitialis,1
516,Stellaria media,1
517,Asparagus aphyllus,1
518,Gazania linearis,1
492,Dryopteris filix-mas,1
490,Lysimachia atropurpurea,1
462,Phlomis lycia,1
475,Ruta graveolens,1
463,Arum dioscoridis,1
464,Lagoecia cuminoides,1
465,Lamium album,1
466,Prunus persica,1
467,Silene cariensis,1
468,Ipomoea indica,1
469,Silene vulgaris,1
470,Trifolium grandiflorum,1
471,Sorghum bicolor,1
472,Senecio vernalis,1
473,Phragmites australis,1
474,Petrosedum sediforme,1
476,Cynoglossum creticum,1
489,Ophrys fusca bilunulata,1
477,Plectritis congesta,1
478,Chenopodium album,1
479,Fritillaria forbesii,1
480,Lotus corniculatus,1
481,Biscutella laevigata,1
482,Hippocrepis comosa,1
483,Ophrys argolica lucis,1
484,Trifolium vesiculosum,1
485,Vicia villosa,1
402,Setaria adhaerens,1
487,Phoenix dactylifera,1
488,Stachys byzantina,1
403,Polypodium cambricum,1
375,Vicia bithynica,1
401,Aloe arborescens,1
326,Tuberaria guttata,1
314,Phagnalon graecum,1
315,Tragopogon porrifolius longirostris,1
316,Plantago afra,1
317,Vicia cretica,1
318,Serapias cordigera,1
319,Trifolium angustifolium,1
320,Medicago arabica,1
321,Anacamptis morio,1
322,Anthemis cotula,1
323,Ophrys apifera,1
324,Fritillaria acmopetala,1
325,Carpobrotus acinaciformis,1
327,Legousia pentagonia,1
312,Scrophularia nodosa,1
328,Oenothera speciosa,1
329,Antirrhinum majus,1
330,Trifolium repens,1
331,Salvia officinalis,1
332,Trigonella corniculata,1
333,Serapias bergonii,1
334,Fritillaria enginiana,1
335,Campanula erinus,1
336,Sorghum halepense,1
337,Tribulus terrestris,1
338,Portulaca grandiflora,1
339,Cynodon dactylon,1
313,Salvia verbenaca,1
311,Verbascum cariense,1
400,Phyla nodiflora,1
296,Rubia tenuifolia,1
284,Lysimachia arvensis caerulea,1
285,Rosularia serrata,1
286,Centaurea urvillei,1
287,Euphorbia acanthothamnos,1
288,Triticum aestivum,1
289,Daphne sericea,1
290,Onobrychis caput-galli,1
291,Trifolium argutum,1
292,Tecomaria capensis,1
293,Cytinus hypocistis,1
294,Helichrysum arenarium,1
295,Trifolium globosum,1
297,Paeonia mascula mascula,1
310,Dianthus barbatus,1
298,Iberis carnosa,1
299,Silene behen,1
300,Lolium perenne,1
301,Urtica urens,1
302,Orobanche crenata,1
303,Valeriana officinalis,1
304,Iris unguicularis carica,1
305,Sinapis alba,1
306,Anthyllis circinnata,1
307,Biscutella didyma,1
308,Prunella vulgaris,1
309,Polygala myrtifolia,1
340,Convolvulus galaticus,1
341,Ptilostemon chamaepeuce,1
342,Bellardia viscosa,1
386,Stachys spinulosa,1
373,Anacamptis coriophora,1
374,Erica arborea,1
376,Pistacia atlantica,1
377,Celtis australis,1
378,Orchis simia,1
379,Serapias parviflora,1
380,Taraxacum officinale,1
381,Punica granatum,1
382,Convolvulus althaeoides,1
383,Senecio angulatus,1
384,Malvaviscus penduliflorus,1
385,Asplenium trichomanes,1
387,Canna indica,1
343,Hibiscus syriacus,1
388,Pelargonium × hybridum,1
389,Opuntia microdasys,1
390,Allium cepa,1
391,Parkinsonia aculeata,1
392,Pinus pinea,1
393,Posidonia oceanica,1
394,Amaranthus retroflexus,1
395,Ophrys fusca blitopertha,1
396,Lysimachia foemina,1
397,Valeriana tuberosa,1
398,Clematis vitalba,1
399,Adiantum capillus-veneris,1
372,Ophrys calypsus,1
371,Orobanche pubescens,1
370,Ficus elastica,1
369,Fumaria capreolata,1
344,Lantana achyranthifolia,1
345,Morus nigra,1
346,Mimosa pudica,1
347,Ornithogalum narbonense,1
348,Cytinus ruber,1
349,Enemion biternatum,1
350,Ophrys fuciflora,1
351,Allium sphaerocephalon,1
352,Teucrium chamaedrys,1
353,Phalaris caroliniana,1
354,Bromus madritensis,1
355,Bellardia trixago,1
356,Glebionis segetum,1
357,Aloe greatheadii,1
358,Pistacia terebinthus,1
359,Juniperus turbinata,1
360,Blackstonia perfoliata,1
361,Calendula officinalis,1
362,Malva parviflora,1
363,Vicia narbonensis,1
364,Leucaena leucocephala,1
365,Mentha × piperita,1
366,Avena fatua,1
367,Torilis arvensis,1
368,Iris pseudacorus,1
519,Pisum sativum,1
