,scientific_name,common_name
1750,Polygonum aviculare,Prostrate Knotweed
1751,Hypericum triquetrifolium,Pyramidal St John's-wort
1752,Pelargonium × hybridum,garden geranium
1753,Cymbalaria muralis,Ivy-leaved toadflax
1754,Lysimachia arvensis,scarlet pimpernel
1755,Malva sylvestris,Common Mallow
1756,Arundo plinii,
1759,Opuntia microdasys,Bunny Ears Cactus
1760,Allium cepa,Common Onion
1763,Glaucium flavum,Yellow Horned Poppy
1764,Limonium sinuatum,Blue statice
1765,Parkinsonia aculeata,retama
1767,Vitex agnus-castus,Lilac chaste tree
1768,Pinus pinea,Stone pine
1769,Erigeron bonariensis,Flax-leaved Horseweed
1772,Nerium oleander,oleander
1773,Ficus carica,common fig
1777,Posidonia oceanica,Neptune Grass
1784,Convolvulus arvensis,field bindweed
1785,Capparis spinosa,Caper Bush
1788,Melissa officinalis,lemon balm
1789,Daucus carota,wild carrot
1790,Amaranthus retroflexus,Redroot Amaranth
1791,Cichorium intybus,chicory
1793,Torilis arvensis,common hedge parsley
1794,Avena fatua,wild oat
1795,Mentha × piperita,Peppermint
1797,Leucaena leucocephala,White leadtree
1798,Nerium oleander,oleander
1799,Cichorium intybus,chicory
1802,Sorghum halepense,Johnson grass
1804,Echinops sphaerocephalus,Glandular Globe-thistle
1805,Catharanthus roseus,Madagascar Periwinkle
1806,Tribulus terrestris,puncture vine
1808,Portulaca oleracea,Common Purslane
1821,Portulaca grandiflora,moss-rose purslane
1823,Cynodon dactylon,Bermuda grass
1824,Convolvulus galaticus,
1826,Agave americana,American century plant
1827,Plumbago auriculata,blue plumbago
1831,Nerium oleander,oleander
1833,Hibiscus rosa-sinensis,Chinese hibiscus
1834,Zinnia elegans,Elegant Zinnia
1835,Hibiscus syriacus,common hibiscus
1837,Hibiscus rosa-sinensis,Chinese hibiscus
1838,Campsis radicans,American trumpet vine
1839,Arundo donax,giant reed
1840,Lantana achyranthifolia,Brushland Shrubverbena
1842,Zinnia elegans,Elegant Zinnia
1843,Quercus coccifera,Kermes oak
1844,Morus nigra,black mulberry
1846,Mimosa pudica,Sensitive Plant
1853,Phlomis fruticosa,Jerusalem Sage
1854,Ornithogalum narbonense,Narbonne Star-of-Bethlehem
1855,Cistus creticus,Hoary Rock-rose
1857,Quercus coccifera,Kermes oak
1858,Onopordum boissierianum,
1859,Spartium junceum,Spanish Broom
1860,Leopoldia comosa,Tassel Hyacinth
1861,Picnomon acarna,Yellow-spine Thistle
1864,Ononis natrix,yellow restharrow
1866,Campanula erinus,Small Bellflower
1867,Asphodelus ramosus,Branched Asphodel
1868,Enemion biternatum,false rue anemone
1869,Allium neapolitanum,Naples garlic
1870,Euphorbia dendroides,tree spurge
1871,Allium sphaerocephalon,Round-headed Leek
1874,Gladiolus italicus,Field Gladiolus
1877,Leopoldia comosa,Tassel Hyacinth
1878,Anacamptis sancta,Holy Orchid
1879,Allium neapolitanum,Naples garlic
1880,Euphorbia dendroides,tree spurge
1882,Tragopogon porrifolius,purple salsify
1884,Teucrium chamaedrys,Wall germander
1886,Bituminaria bituminosa,arabian pea
1887,Cistus creticus,Hoary Rock-rose
1888,Anagyris foetida,Bean Trefoil
1889,Quercus coccifera,Kermes oak
1891,Pallenis spinosa,Spiny Starwort
1896,Helichrysum stoechas,Shrubby Everlasting
1897,Lagurus ovatus,Hare's Tail Grass
1898,Phalaris caroliniana,Carolina canarygrass
1899,Bromus madritensis,Compact Brome
1900,Centaurium erythraea,Common centaury
1902,Cistus salviifolius,Sage-leaved Rock-rose
1904,Onopordum boissierianum,
1905,Notobasis syriaca,Syrian Thistle
1906,Notobasis syriaca,Syrian Thistle
1908,Glebionis segetum,Corn Marigold
1909,Tordylium apulum,Mediterranean Hartwort
1910,Spartium junceum,Spanish Broom
1911,Sarcopoterium spinosum,Spiny Burnet
1916,Olea europaea,Olive
1917,Aloe greatheadii,spotted aloe
1918,Quercus coccifera,Kermes oak
1919,Pistacia terebinthus,terebinth
1920,Lavandula stoechas,topped lavender
1921,Juniperus turbinata,Mediterranean juniper
1922,Pancratium maritimum,Sea Daffodil
1923,Pistacia lentiscus,mastic
1924,Blackstonia perfoliata,Yellow-wort
1925,Liagora ceranoides,
1926,Erodium malacoides,Soft Stork's-bill
1928,Agave americana,American century plant
1934,Arbutus andrachne,Greek strawberry-tree
1935,Oxalis pes-caprae,Bermuda buttercup
1936,Euphorbia hypericifolia,graceful spurge
1937,Heliotropium europaeum,European heliotrope
1938,Urospermum picroides,False Hawkbit
1939,Malva sylvestris,Common Mallow
1940,Malva multiflora,Cretan Tree-mallow
1941,Calendula officinalis,pot marigold
1942,Glebionis coronaria,Garland Daisy
1943,Malva sylvestris,Common Mallow
1944,Carthamus lanatus,woolly distaff thistle
1945,Malva parviflora,cheeseweed mallow
1946,Vicia cracca,tufted vetch
1947,Vicia sativa,Common Vetch
1948,Vicia narbonensis,Narbonne Vetch
1949,Pisum sativum,Common Pea
1950,Echinops spinosissimus,
1951,Heliotropium europaeum,European heliotrope
1952,Calendula arvensis,field marigold
